Entity,Year,0-4 Years,5-14 Years,15-49 Years,70+ Years,50-69 Years
Afghanistan,2000,431.4313798301957,298.71751958584497,2664.6755616064715,3467.8365027889818,5742.719806631873
Afghanistan,2005,570.2985661019342,607.5320413282087,3574.085436016991,3716.360311108094,5569.999390377652
Afghanistan,2010,454.02806320461195,586.5938320089045,4736.447963672656,3900.8799126229296,4967.798862405291
Afghanistan,2015,481.28940967644485,620.6637574793308,5749.126878422641,4091.136810664516,4960.1207763650045
Afghanistan,2017,511.0487725497348,649.2048789443787,5981.327822717986,4172.57586437743,5356.300571382699
Algeria,2000,206.64657605323052,580.9939108029938,2874.90842196776,4649.551007520764,4571.649105770584
Algeria,2005,200.0695359144208,451.5958739498414,3277.4443776364533,5771.431442989106,5702.268530452063
Algeria,2010,206.48538784040835,410.1663743611172,3771.157611079035,7093.725187684881,6760.180606850218
Algeria,2015,178.9577805151017,389.14115805798986,4003.923699427351,7969.0601540428415,7973.73723903559
Algeria,2017,162.4653904738045,370.9447606303665,4054.261742277679,8316.972246410072,8751.438951183056
Angola,2000,427.4385798518649,159.75746031469652,1940.1525707449111,1546.2144560920362,3324.2845528706603
Angola,2005,507.045803424052,188.40310997303638,2173.927132306806,1761.8473168974374,3731.1349009381956
Angola,2010,493.81496367462313,225.99063502011433,2348.715483425328,2130.1473693547887,4381.1387023376365
Angola,2015,441.8398601655194,272.8218629459805,2567.3615298776513,2644.5649287268952,5286.590379185106
Angola,2017,405.0038804949704,274.69890504782063,2713.5546475765477,2840.786997615457,5805.78984962277
Argentina,2000,199.64868220499517,346.22739595034284,6289.277253404869,31149.580813716602,23157.658292158678
Argentina,2005,184.37558690053558,350.8371302373778,6005.910904445603,33613.67137561031,24184.423138862778
Argentina,2010,180.44180597282696,339.9665968848359,6149.592113235779,35640.96359453796,25651.68080588333
Argentina,2015,163.49510305637318,311.4491948779753,6290.449343121943,37739.88039810541,27061.797521797533
Argentina,2017,166.1162292319751,305.90084118872835,6615.096752408437,39112.43083508804,27866.35200117891
Armenia,2000,12.760114231678187,27.76648965258542,695.7813037893166,1621.7218220850796,2179.478868853807
Armenia,2005,10.740322123063825,21.052865952945886,710.4570635667658,2180.5246630168385,2234.2657043433296
Armenia,2010,10.615084871965703,17.42318295701225,626.2426239249273,2772.876923860841,2210.837706481801
Armenia,2015,9.23110019517944,17.884080588589047,471.7129659067738,2632.954785773608,2597.724894851474
Armenia,2017,8.63730458080213,17.665317101693553,442.47822175106126,2555.75111613349,2731.084299696279
Australia,2000,47.28615399838856,102.87301430283556,2705.014744931656,22189.58775801422,11695.154461379165
Australia,2005,46.8306977744822,87.88692232774444,2570.2258588041627,24067.936734378505,12303.299071949772
Australia,2010,45.905601449302175,81.47629610943504,2566.089877800205,26616.00758139333,13491.904990753068
Australia,2015,43.49529895741763,80.72925328839949,2571.265383304675,29492.08515669225,14867.145145697412
Australia,2017,43.52830774170378,80.25019319437304,2598.9480245563173,32029.38675677987,15501.962064635056
Azerbaijan,2000,57.473436608734225,233.43759932527374,1492.4141975068148,1886.0589604383886,3250.4559013408216
Azerbaijan,2005,56.2321222805666,199.96497762891659,1821.4696280692401,2365.472493904723,3403.0309335100346
Azerbaijan,2010,65.47807640567873,138.7028575463774,1974.4980699507087,2902.3032350464673,3816.2197243624732
Azerbaijan,2015,69.28596973923729,128.3422673532771,1863.5635507867264,2846.090447493508,5256.577107861057
Azerbaijan,2017,66.12375863164203,136.69163346787244,1815.1659510518843,2934.931000356948,6000.789061631727
Bahrain,2000,2.3616144198908597,5.661460314981952,77.68940036361747,101.03254089761248,111.70810671100557
Bahrain,2005,2.47531815020738,4.423871513776397,92.30719074268599,117.22221466724112,130.3922025095753
Bahrain,2010,2.7161944780893084,4.597302877287191,98.42668329613969,114.27965218169253,157.9399829795615
Bahrain,2015,2.457566989385352,4.761117653806603,108.51230560631686,135.50730885644242,232.0588208862389
Bahrain,2017,2.208439614818237,4.754799252780088,115.60403173632008,147.99806598880795,282.06813787685394
Bangladesh,2000,1424.5967294720144,2422.0429528546547,14251.000335587676,15384.941094214066,24538.751253024668
Bangladesh,2005,1301.9339277748525,2138.0146755833684,15834.470066575966,17747.962591808566,29061.0055319972
Bangladesh,2010,1102.9188755440193,2312.240979423133,16606.28611986814,23901.21099891405,34186.457879072914
Bangladesh,2015,921.8949292492816,1989.1843053355826,16434.8732389321,32629.54592350023,39530.31570868604
Bangladesh,2017,856.4884665156234,1828.9192126375506,17304.139175045617,37064.998292303455,42247.11473956293
Belgium,2000,21.65232249275052,39.936390061417924,1726.2920818873677,17413.915678810914,9365.823101112996
Belgium,2005,19.591782373773533,37.303936537657144,1601.9922073581654,17611.770113757822,9105.480792681412
Belgium,2010,20.014003411628998,33.399203843230445,1454.8354276872547,19546.78182659515,9573.486147491498
Belgium,2015,17.23663317984841,31.093887568505554,1217.3435794463965,20024.661001812994,9950.31846956455
Belgium,2017,16.290634659963064,30.39364161238326,1151.0541545031065,19861.822584525173,9722.39741444088
Benin,2000,132.3665147311527,61.9575978917232,648.7396992063259,1150.4975796641345,1234.2699654520393
Benin,2005,141.7333214860021,64.3488930602752,716.8453786511689,1328.9745994372895,1400.2016390005938
Benin,2010,159.65000913592368,78.44438680978716,826.6211079901593,1565.6994404353445,1653.531616435351
Benin,2015,219.62826183273617,95.70306309743928,992.7517740008343,1827.5763879525532,1998.5581746526984
Benin,2017,206.85090857669252,93.97684343421186,1042.942314260186,1930.544647508641,2159.221326367044
Botswana,2000,7.241513344054438,10.056920847652515,150.07838445104375,350.45788858556017,371.1589804546544
Botswana,2005,6.665830265867418,9.297231193520755,193.91891923590768,460.1410141623271,452.04566597234896
