Entity,Year,Liver,Breast,Stomach,Colon,Brain and nervous system,Leukemia
Afghanistan,2000-02-11,520.1515504170144,699.2872999414489,3279.1654752808727,877.743536058151,653.6200837652489,1143.06139840428
Afghanistan,2005-05-15,537.5228072750239,823.7536983710602,3478.610787237919,972.5767720537784,816.578966270981,1495.370695888226
Afghanistan,2010-10-13,552.1626096021873,991.7601857769282,3443.93111171828,1058.201621866218,817.0411379453477,1548.9314103430625
Afghanistan,2015-06-08,591.0628758527888,1203.3194243266125,3504.978044500258,1179.4935071598145,907.1794676438533,1729.6187465330595
Afghanistan,2017-07-07,612.9036033151688,1295.5511168467203,3613.8932580595924,1248.7400563119165,961.102864248558,1827.9267352611926
Algeria,2000-02-11,332.251642450183,1088.7251097559406,1023.2959217476005,1041.6322825429304,444.3208741834447,902.3861385827164
Algeria,2005-05-15,427.46062502083987,1475.3587179571045,1136.99357890175,1295.7632885545759,487.860753858977,970.7645125842038
Algeria,2010-10-13,530.5563207904695,1834.3324733257693,1272.4758216935968,1547.4860830605164,544.6570316795809,1107.7556865164133
Algeria,2015-06-08,634.8320999831577,2099.4211340472234,1376.1614312974616,1789.867063839346,610.6313099199878,1157.6157457503632
Algeria,2017-07-07,676.8882316870885,2233.244606842778,1428.2832109287092,1914.9416062902703,632.6891463015535,1185.8286232861665
Angola,2000-02-11,574.146485720926,484.99698893901336,606.5500509035625,458.3893020859105,191.6923403365519,416.25263358585687
Angola,2005-05-15,650.4728058092619,601.3853989119882,607.8313032587897,533.4448031418199,233.489991310171,495.09036920746917
Angola,2010-10-13,698.2579208048741,739.9637915595337,628.4889614391527,650.4764972589245,259.51252619936514,549.8025869556102
Angola,2015-06-08,823.5188171367301,942.6930428571793,663.8114208266261,815.0343680623956,291.628330959479,603.7885749598262
Angola,2017-07-07,879.3555524200243,1048.6981170442953,698.0128217048069,896.644171073455,302.80229481809863,618.2772930834476
Argentina,2000-02-11,1865.9391188884345,5540.687398950306,4987.489202059403,6890.420082162707,1088.4380443562693,2180.9450989123247
Argentina,2005-05-15,1823.2379430704864,5862.756128413308,5102.318085375643,7650.770775591845,1253.828219516405,2232.042148817728
Argentina,2010-10-13,1916.572505246419,6136.034814021874,5271.164544125963,8324.895368439433,1417.3377269584687,2260.8814342749038
Argentina,2015-06-08,2118.459871135827,6396.652282948105,5269.652075622743,8976.823587764711,1573.589901541321,2353.248412641585
Argentina,2017-07-07,2226.3940977451475,6602.296272352642,5295.185615931393,9285.7177780992,1625.7362344250355,2411.300447335733
Armenia,2000-02-11,298.7843694712172,493.31068407110894,470.56556162366667,354.32076439108613,156.54618857523482,152.3379947438555
Armenia,2005-05-15,346.7915928135264,509.4812537380343,510.4061795757019,416.91636985629935,173.7656341461016,154.01864172509286
Armenia,2010-10-13,383.64583974043836,526.7754895399189,535.2271624373541,476.6776713265744,190.700192379658,157.6244752078193
Armenia,2015-06-08,404.9505528222748,516.2130767069614,532.286023247014,528.1727921825346,206.78223752252086,154.43940426393038
Armenia,2017-07-07,412.9307784815654,515.7873012306163,526.7967292880502,529.3385018016471,205.1008350341811,150.5948557342861
Australia,2000-02-11,725.5988253043017,2707.370976460641,1607.181053384694,4950.3764858342765,1036.4914412710934,2195.3597577650326
Australia,2005-05-15,967.8530274749968,2716.4178958986467,1575.765472392928,4916.260946652649,1089.1486602381274,2253.921196069446
Australia,2010-10-13,1335.2380436467329,2976.093347390209,1654.6169850121598,5176.430439627903,1231.0523928443615,2095.023084003305
Australia,2015-06-08,1703.2443278811072,3261.796296444264,1765.0098726389729,5607.694545226002,1394.4317435259977,2088.1150745657496
Australia,2017-07-07,1766.2396948362882,3393.845632315244,1880.2247249897105,6058.96166726714,1472.8262749994776,2242.700538913131
Azerbaijan,2000-02-11,478.08621960964587,474.39155079100607,1294.8405390207902,431.44726897036537,281.99147460097197,393.3196427759729
Azerbaijan,2005-05-15,516.580261322004,542.6444383637185,1434.1102675171005,512.1706278997602,310.3960796550528,412.14156301759715
Azerbaijan,2010-10-13,553.0440842264534,600.0270610964542,1525.0896427111222,609.9958560244936,348.6412750482175,411.8848836971378
Azerbaijan,2015-06-08,659.3881656480353,665.2483536812846,1638.1296393169598,719.3693206285925,391.4130867256529,420.4026509519455
Azerbaijan,2017-07-07,722.465148288479,704.9803141283368,1740.3107616140924,779.8172766196299,415.16594477012563,436.5991147257965
Bahrain,2000-02-11,13.526115902448186,34.310058172704146,18.613618242085842,22.9107700991082,8.035560683434756,23.390685399730803
Bahrain,2005-05-15,14.854638982054253,42.33375686320697,19.61747823853481,30.29297593530099,10.601442467414707,25.604438579946738
Bahrain,2010-10-13,16.003534502087096,47.72858419874266,20.823517325319465,36.70343419908588,13.103430784117696,28.01133184327139
Bahrain,2015-06-08,21.323566946253084,60.80335490784684,26.013162070146088,49.75502514730218,16.41477240614551,32.69270194314809
Bahrain,2017-07-07,24.908269567992527,67.26122723154053,29.901416975881318,57.11626520987626,18.16210197153087,35.83046270339998
Bangladesh,2000-02-11,1531.4175703309688,3048.785494272373,5640.628955084479,4990.520069011186,2703.5704134564817,3851.3009461237743
Bangladesh,2005-05-15,1900.2893771513245,3626.0624560756787,6286.124660838374,4976.891394745526,3246.1180144486248,3845.274286961354
